"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.145963000E1,2.349192300E1,1.057824986E2,NaN,NaN,2.934300041E1,1.000000000E0
8.447618230E-1,6.145955216E1,2.349139694E1,9.832586669E1,0.000000000E0,NaN,5.195294857E0,8.822536469E0
1.833608646E0,6.145955226E1,2.349139605E1,9.853723159E1,0.000000000E0,NaN,3.790092468E0,4.949425697E0
2.832781561E0,6.145955306E1,2.349139363E1,9.819494737E1,0.000000000E0,NaN,3.790092468E0,3.616111517E0
3.832233801E0,6.145955381E1,2.349139361E1,9.817529481E1,0.000000000E0,NaN,3.790092468E0,3.035141945E0
4.831919947E0,6.145955394E1,2.349139087E1,9.825781462E1,0.000000000E0,NaN,3.790092468E0,2.672608376E0
5.832263332E0,6.145955383E1,2.349139050E1,9.819946492E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
6.832058019E0,6.145955373E1,2.349139013E1,9.815472607E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
7.832609789E0,6.145955351E1,2.349138883E1,9.805914486E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
8.832192757E0,6.145955315E1,2.349138785E1,9.796521144E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
9.832199006E0,6.145955302E1,2.349138745E1,9.795440811E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.083186250E1,6.145955393E1,2.349138717E1,9.765887682E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.183262781E1,6.145955736E1,2.349138877E1,9.812909506E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.283189833E1,6.145955723E1,2.349138897E1,9.839868720E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.383243567E1,6.145955757E1,2.349139053E1,9.861200533E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.483203937E1,6.145955837E1,2.349138950E1,9.890546323E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.583259786E1,6.145955827E1,2.349138939E1,9.888025561E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.683255687E1,6.145955790E1,2.349139103E1,9.914130251E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.783252588E1,6.145955909E1,2.349139172E1,9.930030027E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.883204775E1,6.145955898E1,2.349139178E1,9.919733384E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
1.983237885E1,6.145955905E1,2.349139354E1,9.928870345E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.083249197E1,6.145956066E1,2.349139222E1,9.939753084E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.183222666E1,6.145955948E1,2.349138554E1,9.935602609E1,3.700000048E-1,2.548999939E2,3.790092468E0,2.500000000E0
2.283241400E1,6.145955283E1,2.349138074E1,9.921289216E1,7.200000286E-1,2.543000031E2,3.790092468E0,2.500000000E0
2.383185650E1,6.145954018E1,2.349136918E1,9.928404694E1,1.559999943E0,2.083000031E2,3.790092468E0,2.500000000E0
2.483230806E1,6.145952737E1,2.349135682E1,9.948075092E1,1.679999948E0,2.100000000E2,3.790092468E0,2.500000000E0
2.583255666E1,6.145951390E1,2.349134217E1,9.939266432E1,1.740000010E0,2.088999939E2,3.790092468E0,2.500000000E0
2.683230108E1,6.145950091E1,2.349132688E1,9.924946349E1,1.639999986E0,2.123000031E2,3.790092468E0,2.500000000E0
2.783280791E1,6.145948956E1,2.349130949E1,9.938507302E1,1.559999943E0,2.173999939E2,3.790092468E0,2.500000000E0
2.883261739E1,6.145947920E1,2.349129164E1,9.925872070E1,1.440000057E0,2.206000061E2,3.790092468E0,2.500000000E0
2.983244994E1,6.145946968E1,2.349127273E1,9.901603628E1,1.419999957E0,2.226000061E2,3.790092468E0,2.500000000E0
3.083246238E1,6.145946060E1,2.349125349E1,9.887045925E1,1.399999976E0,2.231000061E2,3.790092468E0,2.500000000E0
3.183199264E1,6.145945096E1,2.349123390E1,9.889681771E1,1.419999957E0,2.238999939E2,3.790092468E0,2.500000000E0
3.283258869E1,6.145944261E1,2.349121476E1,9.912599728E1,1.330000043E0,2.271000061E2,3.790092468E0,2.500000000E0
3.383230723E1,6.145943478E1,2.349119458E1,9.918757489E1,1.389999986E0,2.303999939E2,3.790092468E0,2.500000000E0
3.483239405E1,6.145942696E1,2.349117168E1,9.888733625E1,1.440000057E0,2.328999939E2,3.790092468E0,2.500000000E0
3.583262749E1,6.145942007E1,2.349115094E1,9.860241826E1,1.289999962E0,2.325000000E2,3.790092468E0,2.500000000E0
3.683214426E1,6.145941153E1,2.349113128E1,9.869341407E1,1.350000024E0,2.308000031E2,3.790092468E0,2.500000000E0
3.783275686E1,6.145940360E1,2.349110875E1,9.850108546E1,1.409999967E0,2.336999969E2,3.790092468E0,2.500000000E0
3.883225868E1,6.145939770E1,2.349108363E1,9.816904957E1,1.389999986E0,2.398000031E2,3.790092468E0,2.500000000E0
3.983279936E1,6.145939194E1,2.349106102E1,9.807334182E1,1.379999995E0,2.416999969E2,3.790092468E0,2.500000000E0
4.083236170E1,6.145938638E1,2.349103982E1,9.798526358E1,1.340000033E0,2.448000031E2,3.790092468E0,2.500000000E0
4.183190566E1,6.145938043E1,2.349101993E1,9.806069806E1,1.309999943E0,2.431000061E2,3.790092468E0,2.500000000E0
4.283227222E1,6.145937421E1,2.349099710E1,9.851052208E1,1.330000043E0,2.441999969E2,3.790092468E0,2.500000000E0
4.383276978E1,6.145936961E1,2.349097430E1,9.809413680E1,1.370000005E0,2.415000000E2,3.790092468E0,2.500000000E0
4.483254123E1,6.145936355E1,2.349095291E1,9.776966891E1,1.250000000E0,2.431999969E2,3.790092468E0,2.500000000E0
4.583260347E1,6.145935669E1,2.349092928E1,9.774012220E1,1.330000043E0,2.426999969E2,3.790092468E0,2.500000000E0
