"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.928871000E-3,0.000000000E0,0.000000000E0,0.000000000E0
1.061668300E-2,3.041982651E-3,1.798486710E-2,-1.728487015E-2
1.530381900E-2,-2.637624741E-3,3.030633926E-2,-3.573560715E-2
1.999152700E-2,-1.005506516E-2,4.042434692E-2,-1.923274994E-2
2.467918300E-2,-5.421185493E-2,1.352071762E-2,-1.977205276E-2
2.936683900E-2,-8.468174934E-2,-3.846168518E-3,-2.583312988E-2
3.405449600E-2,-9.624552727E-2,-2.248668671E-2,-4.068994522E-2
3.874215200E-2,-1.246087551E-1,-9.481906891E-3,-5.523395538E-2
4.342980800E-2,-1.768682003E-1,-1.036930084E-2,-4.416847229E-2
4.811736000E-2,-1.782712936E-1,-1.951694489E-2,-3.963947296E-2
5.280506900E-2,-1.372711658E-1,-5.811691284E-2,1.134109497E-2
5.749272500E-2,-8.705568314E-2,-7.184457779E-2,1.059751511E-1
6.218038100E-2,-6.714677811E-2,-1.203651428E-1,2.910013199E-1
6.686803700E-2,-5.738592148E-2,-1.884551048E-1,4.377980232E-1
7.155569400E-2,-1.154730320E-1,-2.174196243E-1,5.549664497E-1
7.624335000E-2,-1.616852283E-1,-2.546601295E-1,6.138267517E-1
8.093100600E-2,-1.973066330E-1,-2.727837563E-1,6.000294685E-1
8.561866200E-2,-2.323660851E-1,-2.593240738E-1,5.987029076E-1
9.030631900E-2,-2.172117233E-1,-2.745881081E-1,5.544528961E-1
9.499397500E-2,-3.041636944E-1,-2.897410393E-1,5.051941872E-1
9.968163100E-2,-3.609383106E-1,-2.499880791E-1,4.369053841E-1
1.043692870E-1,-4.116764069E-1,-2.076988220E-1,4.091677666E-1
1.090569440E-1,-3.739683628E-1,-1.444082260E-1,3.511328697E-1
1.137445480E-1,-3.793492317E-1,-3.324413300E-2,4.104142189E-1
1.184322560E-1,-3.383412361E-1,9.663343430E-2,4.675211906E-1
1.231198600E-1,-3.490736485E-1,1.988811493E-1,5.134482384E-1
1.278075170E-1,-2.713103294E-1,2.932248116E-1,5.579152107E-1
1.324951730E-1,-1.634032726E-1,3.248658180E-1,5.779490471E-1
1.371828290E-1,5.974769592E-3,3.237533569E-1,5.606346130E-1
1.418704850E-1,1.516516209E-1,3.095602989E-1,4.469957352E-1
1.465581420E-1,3.672976494E-1,2.735919952E-1,3.045091629E-1
1.512457460E-1,6.144855022E-1,2.485280037E-1,2.775959969E-1
1.559334540E-1,7.860348225E-1,2.478947639E-1,2.095036507E-1
1.606211100E-1,8.935637474E-1,3.266234398E-1,1.803870201E-1
1.653087670E-1,9.717004299E-1,3.334670067E-1,2.590398788E-1
1.699964230E-1,8.539097309E-1,4.751868248E-1,2.331519127E-1
1.746840790E-1,7.641851902E-1,4.875688553E-1,2.544941902E-1
